,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
363,Cloud 9 (feat. Tegan and Sara),Beach Bunny,2pGXCabl4UlMiskwh7evDq,2021-04-16,0.585,0.892,-4.466,0.0424,0.00108,0.281,0.878,161.985,-54.554834754145
364,Too Close,Sir Chloe,4zV3Og5KgrNyZEhzrZzwuk,2020-10-23,0.42,0.558,-5.728,0.0509,0.167,0.19,0.538,165.987,-58.495109109466426
365,Show Me How,Men I Trust,01TyFEZu6mHbffsVfxgrFn,2018-02-28,0.791,0.267,-11.997,0.0415,0.674,0.102,0.544,165.99,-58.63282363590806
366,New Flesh,Current Joys,6TEiFwaiHERpdfG6WnGed1,2013,0.621,0.594,-16.066,0.0384,0.887,0.0917,0.698,165.863,-58.94692229854099
367,Little Pistol,Mother Mother,0rPsA6WNBe8BdSgth2z0HG,2012-09-18,0.295,0.478,-7.844,0.0325,0.749,0.436,0.17,169.846,-62.32879787877957
368,Advice,Alex G,2XwcKJW9Q0gaDIZzg0dKQt,2012-11-05,0.356,0.611,-5.71,0.0289,0.000183,0.127,0.272,170.073,-62.581065454773324
369,I / Me / Myself,Will Wood,2vT4Xvrd9xuWUi56RQ2sqo,2020-07-10,0.48,0.954,-5.273,0.0584,0.165,0.807,0.762,172.016,-64.54081798910747
370,I'd Like To Walk Around In Your Mind,Vashti Bunyan,6bqB7idfAnJVisSMQA1mZQ,1970,0.212,0.186,-16.813,0.05,0.92,0.116,0.51,174.963,-68.06513231717808
371,Cool Schmool,Bratmobile,5SQhahcpnWJ6AXZ1N4YIvT,2019-02-15,0.304,0.81,-6.628,0.0408,0.116,0.0863,0.743,175.675,-68.16251907812
372,I Disagree,Poppy,5E09pgezFesGrk4ZL9T2cc,2020-01-09,0.355,0.867,-4.596,0.0737,0.066,0.325,0.357,180.111,-72.65238537850158
373,Romantic Lover,Eyedress,44pBlSEASFjEdU3qEHhbFs,2020-08-07,0.657,0.447,-9.299,0.087,0.701,0.198,0.537,184.315,-76.81285795739232
374,I Can't Handle Change,Roar,0I1eFRytp4XRhLCjT6tZm7,2010-03-14,0.247,0.438,-8.479,0.0358,0.0455,0.111,0.39,185.716,-78.20097847058027
375,Twilight,bôa,065mWeAFcIWOX52Cnj9f6M,2001,0.386,0.828,-7.847,0.111,0.161,0.0998,0.36,187.087,-79.56713784054458
376,Line Without a Hook,Ricky Montgomery,5NvOZCjZaGGGL597exlQWv,2016-04-08,0.432,0.652,-4.969,0.0285,0.262,0.258,0.507,190.028,-82.54780497329249
377,Nice Nice,Dazey and the Scouts,2zVpbyVxxLM5tm7MAMOWVN,2017-04-13,0.231,0.911,-6.466,0.399,0.00237,0.123,0.182,196.683,-89.17204270540938
378,Easy,Lillian Hepler,3nyRWdbLh6gSembPFBvovm,2021-01-18,0.739,0.471,-7.554,0.0751,0.632,0.346,0.594,106.989,0.3957269629404515
379,Your Soul,RHODES,6n1HCApXCafWSThDAdBaTf,2014-05-09,0.433,0.477,-8.756,0.0342,0.342,0.101,0.164,106.576,-0.24887635149208864
380,Friends,Chase Atlantic,2jQiSYrwJehQAcuaaQrXnS,2015-02-21,0.422,0.609,-6.361,0.0335,0.0114,0.108,0.0911,107.34,-0.5903768737362776
381,In Luv With U,Finn,40XwcZVS7Oh7VvBuOWrgkk,2017-08-17,0.568,0.597,-9.631,0.0405,0.801,0.309,0.197,105.415,-1.4031885126462131
382,I'm with You,Vance Joy,6Qwuw0eOeszVlewLpu24gR,2018-02-23,0.657,0.396,-9.255,0.0293,0.805,0.103,0.115,110.003,-2.91083786461614
383,Chanel,Frank Ocean,6Nle9hKrkL1wQpwNfEkxjh,2017-03-10,0.776,0.503,-5.732,0.237,0.874,0.112,0.473,110.134,-3.1052718035853557
384,You're Somebody Else,flora cash,0pdKRp2sUthTPe7RLWpPqQ,2018-06-19,0.713,0.452,-9.638,0.0295,0.841,0.105,0.235,102.963,-3.149526270228578
385,Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,0.357,0.425,-7.301,0.0333,0.584,0.322,0.27,102.078,-3.484627593827197
386,Forever,ilyTOMMY,7uHRKSQ9WIlBBuBY7BHcbq,2019-03-08,0.613,0.339,-14.908,0.135,0.678,0.166,0.292,106.582,-6.334396147830911
387,Heading South,Zach Bryan,2Dct3GykKZ58hpWRFfe2Qd,2019-09-30,0.68,0.246,-14.112,0.058,0.783,0.106,0.388,110.23,-6.523597918105044
388,Moonlight Shawty,Fatboibari,0CvaOecRnYE1fyErhpXgbK,2018-09-06,0.686,0.195,-15.136,0.151,0.841,0.0816,0.129,105.99,-6.600152304876285
389,cavity,vinnie,7rXYo6TVz4p35DCj2nPI71,2020-12-30,0.456,0.298,-14.41,0.0548,0.789,0.125,0.425,109.888,-6.629360541049104
390,scared,Jeremy Zucker,6r2JV75tE0vNgNCv4HKsBC,2019-05-03,0.583,0.075,-15.843,0.0726,0.933,0.111,0.347,108.418,-7.504940279703051
391,Cigarette Daydreams,Cage The Elephant,0lkQOB949M2gLyut86aJ1b,2013-10-08,0.636,0.676,-3.442,0.0263,0.0807,0.0831,0.273,113.98,-7.541907751721238
392,Only,RY X,1GxNPd5r7D1zChEMuMhue0,2016-05-06,0.429,0.167,-15.725,0.0298,0.902,0.109,0.0913,109.071,-7.567376029993902
393,Please Never Fall in Love Again,Ollie MN,42H6GeQfrBkT3vTUTdpB1M,2017-09-24,0.646,0.0828,-16.205,0.0435,0.838,0.0934,0.293,108.826,-7.94680705186591
394,All To Me,Giveon,5JycxhApZmzbA4xSwvqh6k,2021-03-12,0.523,0.543,-8.39,0.156,0.65,0.257,0.318,116.161,-8.682811787353772
395,Ivy,Frank Ocean,2ZWlPOoWh0626oTaHrnl2a,2016-08-20,0.567,0.388,-9.579,0.0384,0.782,0.248,0.452,116.362,-9.052446762719756
396,Give Me Love - Acoustic,Micky,30M7a1tjgYo7NOJdSHA1Tp,2020-10-03,0.484,0.184,-12.313,0.0427,0.856,0.0874,0.206,97.56,-9.157337494802292
397,Euphor,Novo Amor,4CiqKccFFYGmFPz7HVTjfW,2017-11-10,0.296,0.284,-14.01,0.033,0.968,0.0961,0.0917,114.786,-9.504668990183095
398,Sleep Thru Ur Alarms,Lontalius,3Mmt4wAMtWRmObAxbejpPe,2019-04-26,0.612,0.344,-14.066,0.0269,0.302,0.115,0.0691,97.479,-10.133000385220207
399,Dandelions,Ruth B.,2eAvDnpXP5W0cVtiI0PUxV,2017-05-05,0.609,0.692,-2.958,0.0259,0.0157,0.0864,0.454,116.959,-10.424674320824833
400,Fear,Current Joys,1fSNVgPaop1mGi5cjJq1s8,2018-03-02,0.716,0.447,-8.314,0.0388,0.701,0.0855,0.506,93.955,-11.59444478058933
401,crash,EDEN,7EkMIQ2PzEzwQroLl6dUvw,2018-01-19,0.503,0.212,-12.735,0.0658,0.872,0.12,0.185,118.492,-12.049938709025184
402,Like I Want You,Giveon,6qBFSepqLCuh5tehehc1bd,2020-03-27,0.678,0.355,-7.757,0.0627,0.759,0.114,0.438,119.772,-12.259654486724562
403,To Love Someone Else,Avery Lynch,6PJaTdRQxlDmpkNJ4jZOwt,2020-09-04,0.544,0.272,-10.653,0.0373,0.891,0.212,0.398,93.465,-12.427655168766938
404,Stuck In The Middle,Tai Verdes,4y3BUo2hp0MxylfbUaqRyJ,2020-05-29,0.871,0.501,-8.904,0.0466,0.371,0.0939,0.848,119.953,-12.501423222583457
405,Star Shopping,Lil Peep,30bqVoKjX479ab90a8Pafp,2019-04-19,0.585,0.471,-9.934,0.0616,0.0967,0.115,0.323,93.099,-12.62985642224139
406,Turning Page,Sydney Rose,2QFyOnJfJ49OnNgMvKXvTM,2020-09-30,0.404,0.0182,-20.969,0.0414,0.964,0.108,0.114,109.107,-12.660641571072583
407,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,2020-12-25,0.436,0.655,-8.37,0.0583,0.499,0.688,0.412,121.002,-13.515320212634414
408,MIDDLE OF THE END (HOW DOES IT FEEL),Jack Kays,6KoW0yc1co2a3GLuaM4scJ,2021-04-23,0.62,0.659,-5.976,0.0358,0.384,0.0699,0.848,92.088,-13.530358091090402
409,Trust,Brent Faiyaz,0oufSLnKQDoBFX5mgkDCgR,2018-10-19,0.764,0.394,-8.559,0.154,0.224,0.119,0.471,92.011,-13.544500443168074
410,My Kind of Woman,Mac DeMarco,2OFrAsP5Vrcb0DtsPNsm54,2012-10-16,0.501,0.765,-7.063,0.0281,0.00294,0.184,0.46,91.769,-13.769885137550498
411,Falling Asleep At The Wheel,Holly Humberstone,5rqQv5jUcg58xsi1nuZDl9,2020-03-19,0.662,0.626,-8.3,0.221,0.736,0.27,0.321,121.828,-14.331306708735381
412,Blondie,Current Joys,4UkCtBCYh6VMsucGMQZyh9,2013,0.776,0.625,-12.561,0.0396,0.622,0.086,0.865,122.072,-15.334117304994404
413,Pope Is a Rockstar,SALES,0So2sgVa8aJiARPl2P29u2,2016-04-20,0.725,0.446,-8.958,0.0287,0.85,0.107,0.311,90.024,-15.56468603431156
414,I Found,Amber Run,5zT5cMnMKoyruPj13TQXGx,2015-04-20,0.567,0.303,-12.481,0.0351,0.862,0.104,0.252,124.949,-18.076536974600856
415,You Wrote 'Don't Forget' On Your Arm,Flatsound,5Ewah7EFhLXe7XFKZafONh,2015-09-21,0.61,0.2,-17.461,0.054,0.917,0.508,0.0606,122.874,-18.120877147906036
416,January,Verzache,4ufN2o3Rf6LN5Z0XaqJXIz,2019-01-01,0.689,0.246,-13.33,0.0379,0.933,0.113,0.18,87.985,-18.419840906539772
417,The Night We Met,Lord Huron,0QZ5yyl6B6utIWkxeBDxQN,2015-04-07,0.545,0.366,-9.51,0.0378,0.969,0.641,0.1,86.997,-18.640815837060217
418,July,Micky,3Z0nnr7qA2Mab9TR0eOVHP,2021-02-11,0.711,0.338,-6.426,0.0327,0.8,0.112,0.377,128.994,-21.508234007476293
419,Nobody But You,Sonder,6VFKuuqSbA1GpMEosUgTwQ,2021-04-09,0.637,0.299,-11.314,0.0366,0.742,0.359,0.364,83.872,-21.96039285058762
